prefix	lane_number	seq_id	sample_id	population	data_type
DBW21_001_CKDL210025089-1a-AK21302-AK11216_HVWY5DSX2_L4	1	1	DBW21_001	DBW21	pe
DBW21_002_CKDL210025089-1a-AK101-AK9879_HVWY5DSX2_L4	1	1	DBW21_002	DBW21	pe
DBW21_003_CKDL210025089-1a-AK32199-AK3851_HVWY5DSX2_L4	1	1	DBW21_003	DBW21	pe
DBW21_004_CKDL210025089-1a-AK24581-AK11505_HVWY5DSX2_L4	1	1	DBW21_004	DBW21	pe
DBW21_005_CKDL210025089-1a-AK17646-AK11457_HVWY5DSX2_L4	1	1	DBW21_005	DBW21	pe
DBW21_007_CKDL210025089-1a-AK2836-AK11625_HVWY5DSX2_L4	1	1	DBW21_007	DBW21	pe
DBW21_008_CKDL210025089-1a-AK24578-AK11445_HVWY5DSX2_L4	1	1	DBW21_008	DBW21	pe
DBW21_009_CKDL210025089-1a-AK24575-AK11348_HVWY5DSX2_L4	1	1	DBW21_009	DBW21	pe
DBW21_010_CKDL210025089-1a-AK21302-AK11212_HVWY5DSX2_L4	1	1	DBW21_010	DBW21	pe
DBW21_011_CKDL210025089-1a-AK101-AK11290_HVWY5DSX2_L4	1	1	DBW21_011	DBW21	pe
DBW21_012_CKDL210025089-1a-AK32199-AK12055_HVWY5DSX2_L4	1	1	DBW21_012	DBW21	pe
DBW21_013_CKDL210025089-1a-AK24581-AK11112_HVWY5DSX2_L4	1	1	DBW21_013	DBW21	pe
DBW21_014_CKDL210025089-1a-AK17646-AK17462_HVWY5DSX2_L4	1	1	DBW21_014	DBW21	pe
DBW21_015_CKDL210025089-1a-AK2836-AK12647_HVWY5DSX2_L4	1	1	DBW21_015	DBW21	pe
DBW21_016_CKDL210025089-1a-AK24578-AK11179_HVWY5DSX2_L4	1	1	DBW21_016	DBW21	pe
DBW21_017_CKDL210025089-1a-AK24575-AK11652_HVWY5DSX2_L4	1	1	DBW21_017	DBW21	pe
DBW21_018_CKDL210025089-1a-AK19945-AK11212_HVWY5DSX2_L4	1	1	DBW21_018	DBW21	pe
DBW21_019_CKDL210025089-1a-AK19946-AK11290_HVWY5DSX2_L4	1	1	DBW21_019	DBW21	pe
DBW21_020_CKDL210025089-1a-7UDI1078-AK12055_HVWY5DSX2_L4	1	1	DBW21_020	DBW21	pe
DBW21_021_CKDL210025089-1a-AK19947-AK11112_HVWY5DSX2_L4	1	1	DBW21_021	DBW21	pe
DBW21_022_CKDL210025089-1a-AK19948-AK17462_HVWY5DSX2_L4	1	1	DBW21_022	DBW21	pe
DBW21_023_CKDL210025089-1a-AK7044-AK12647_HVWY5DSX2_L4	1	1	DBW21_023	DBW21	pe
DBW21_024_CKDL210025089-1a-AK19949-AK11179_HVWY5DSX2_L4	1	1	DBW21_024	DBW21	pe
DBW21_025_CKDL210025089-1a-AK19950-AK11652_HVWY5DSX2_L4	1	1	DBW21_025	DBW21	pe
DBW21_026_CKDL210025089-1a-N709-AK11703_HVWY5DSX2_L4	1	1	DBW21_026	DBW21	pe
DBW21_026_CKDL220001009-1a-N709-AK11703_HFCVHDSX3_L3	2	1	DBW21_026	DBW21	pe
DBW21_027_CKDL210025089-1a-N710-AK11614_HVWY5DSX2_L4	1	1	DBW21_027	DBW21	pe
DBW21_027_CKDL220001009-1a-N710-AK11614_HFCVHDSX3_L3	2	1	DBW21_027	DBW21	pe
DBW21_028_CKDL210025089-1a-N711-AK11618_HVWY5DSX2_L4	1	1	DBW21_028	DBW21	pe
DBW21_028_CKDL220001009-1a-N711-AK11618_HFCVHDSX3_L3	2	1	DBW21_028	DBW21	pe
DBW21_029_CKDL210025089-1a-N712-AK2898_HVWY5DSX2_L4	1	1	DBW21_029	DBW21	pe
DBW21_029_CKDL220001009-1a-N712-AK2898_HFCVHDSX3_L3	2	1	DBW21_029	DBW21	pe
NEH17_001_CKDL210025089-1a-AK20959-AK11231_HVWY5DSX2_L4	1	1	NEH17_001	NEH17	pe
NEH17_002_CKDL210025089-1a-AK32200-AK12632_HVWY5DSX2_L4	1	1	NEH17_002	NEH17	pe
NEH17_003_CKDL210025089-1a-AK16818-AK11648_HVWY5DSX2_L4	1	1	NEH17_003	NEH17	pe
NEH17_004_CKDL210025089-1a-7UDI1638-AK12639_HVWY5DSX2_L4	1	1	NEH17_004	NEH17	pe
NEH17_005_CKDL210025089-1a-AK14060-AK11703_HVWY5DSX2_L4	1	1	NEH17_005	NEH17	pe
NEH17_006_CKDL210025089-1a-AK24589-AK11614_HVWY5DSX2_L4	1	1	NEH17_006	NEH17	pe
