sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
ARN0419_001_ARN_1_3_pe	759545792	382.571177	756542067	756542067
ARN0419_002_ARN_1_2_pe	1102569732	377.435481	1093541005	1093541005
ARN0419_003_ARN_1_4_pe	541071848	366.973144	536950904	536950904
ARN0419_004_ARN_1_4_pe	615638484	371.311512	612535326	612535326
ARN0419_005_ARN_1_4_pe	723101682	363.238184	713070944	713070944
ARN0419_006_ARN_1_4_pe	705287392	365.790781	696441072	696441072
ARN0419_007_ARN_1_4_pe	765806457	366.836628	756263435	756263435
ARN0419_008_ARN_1_4_pe	1165958990	371.554640	1155620285	1155620285
ARN0419_009_ARN_1_4_pe	1028472546	365.242120	1017033819	1017033819
ARN0419_010_ARN_1_3_pe	662902483	381.476327	658383650	658383650
ARN0419_011_ARN_merged	219530532	232.994677	170180511	170180511
ARN0419_012_ARN_1_4_pe	469663538	331.308078	440966544	440966544
ARN0419_013_ARN_1_4_pe	834325314	366.849820	824493895	824493895
ARN0419_014_ARN_1_4_pe	647079891	370.019912	640387096	640387096
ARN0419_015_ARN_1_4_pe	1004788258	360.660196	986290255	986290255
ARN0419_016_ARN_1_4_pe	912876663	363.751142	900666692	900666692
ARN0419_017_ARN_1_4_pe	1024317281	366.600105	1011662373	1011662373
ARN0419_018_ARN_1_4_pe	608030701	370.033143	602017882	602017882
ARN0419_019_ARN_merged	791153072	377.183426	779643182	779643182
ARN0419_020_ARN_merged	604220158	377.651448	601796327	601796327
ARN0419_022_ARN_1_4_pe	451780123	364.549549	445927814	445927814
ARN0419_023_ARN_1_3_pe	429910294	385.794493	427790442	427790442
ARN0419_024_ARN_1_5_pe	199136	389.206600	197385	197385
ARN0419_025_ARN_1_3_pe	753316574	372.204948	741220720	741220720
ARN0419_026_ARN_merged	483546590	344.973461	458284756	458284756
ARN0419_027_ARN_merged	609176126	374.583625	606306627	606306627
ARN0419_028_ARN_1_3_pe	695803574	381.617659	690593171	690593171
ARN0419_029_ARN_1_3_pe	493737599	387.224871	492159756	492159756
ARN0419_030_ARN_merged	74022651	388.287033	73190102	73190102
ARN0419_031_ARN_1_3_pe	408416208	340.355591	382763883	382763883
ARN0419_032_ARN_merged	510696153	377.836231	507111030	507111030
ARN0419_033_ARN_merged	744334727	388.228254	741162395	741162395
ARN0419_034_ARN_1_4_pe	867978300	368.211073	861146576	861146576
