sample_id	mapped_bases	qual_filtered_mapped_bases
ARN0419_030_ARN_1_1	28543163	15954645
ARN0419_033_ARN_1_1	391331774	220516438
ARN0419_037_ARN_1_1	159577725	89718294
ARN0419_040_ARN_1_1	627151648	350145745
ARN0419_020_ARN_1_1	923939336	516702420
ARN0419_027_ARN_1_1	914528836	516179560
ARN0419_048_ARN_1_1	808167748	449787543
ARN0419_049_ARN_1_1	16756	9707
COH0419_031_COH_1_1	757410539	421316114
COH0419_035_COH_1_1	944455774	521113191
COH0419_036_COH_1_1	828390183	452403328
COH0419_037_COH_1_1	1988941095	1085728224
COH0419_038_COH_1_1	2651226572	1457028751
COH0419_023_COH_1_1	862902943	484764543
COH0419_024_COH_1_1	878276398	498902073
COH0419_026_COH_1_1	1029383802	577916049
COH0419_029_COH_1_1	535172760	300021641
COH0419_043_COH_1_1	13835	7497
COH0419_047_COH_1_1	7064	4598
HC0419_017_HC_1_1	353140848	195854434
HC0419_023_HC_1_1	4100023523	2300952151
HC0419_030_HC_1_1	2051204655	1152338019
HC0419_031_HC_1_1	2371447316	1317976682
HC0419_033_HC_1_1	1816242586	1005024095
HC0419_034_HC_1_1	2594805607	1447323590
HC0419_035_HC_1_1	1039099155	579658399
HC0419_038_HC_1_1	1551820164	867494784
HC0419_039_HC_1_1	1310981190	729178065
HC0419_040_HC_1_1	1123957507	631323046
HC0419_041_HC_1_1	599569652	334737141
HC0419_042_HC_1_1	1780484504	997048222
HC0419_043_HC_1_1	472655708	263648007
HC0419_045_HC_1_1	1790552657	1006585068
HC0419_046_HC_1_1	1162211436	653223831
HC0419_057_HC_1_1	1139451078	637580002
HC0419_058_HC_1_1	794022686	445162834
HC0419_059_HC_1_1	317072362	176999284
HC0419_066_HC_1_1	1389321467	776936616
HC0419_067_HC_1_1	676937287	380176259
NB0419_016_NB_1_1	776783928	432267039
NB0419_017_NB_1_1	341147866	189652632
NB0419_019_NB_1_1	440245742	245680171
NB0419_003_NB_1_1	904272669	507198597
NB0419_008_NB_1_1	1306912058	733063743
NB0419_030_NB_1_1	589821610	328889533
NB0419_034_NB_1_1	2340832094	1298492280
NB0419_046_NB_1_1	1141021629	630648499
NB0419_049_NB_1_1	2100351648	1182751934
NB0419_050_NB_1_1	920437537	518824935
SR0419_031_SR_1_1	1827529684	1009046651
SR0419_027_SR_1_1	1881726353	1055461969
SR0419_033_SR_1_1	583123198	323745664
SR0419_034_SR_1_1	513421291	284240381
SR0419_035_SR_1_1	1107101114	624004399
SR0419_041_SR_1_1	851542775	470700826
SR0419_042_SR_1_1	1249742219	701070161
SR0419_045_SR_1_1	1160924356	649358157
SR0419_046_SR_1_1	747676940	419388816
SR0719ch_123_CHR_1_1	545346201	300873861
SR0719ch_131_CHR_1_1	905162158	502707567
SR0719ch_294_CHR_1_1	1150754719	644571882
SR0719r_193_REF_1_1	175330360	98360286
SR0719r_257_REF_1_1	927879142	517033663
SR0719r_260_REF_1_1	278250326	155367510
SR0719r_265_REF_1_1	761585170	421634055
SR0719r_266_REF_1_1	1202926408	670205092
SR0719r_276_REF_1_1	1261373613	704961111
SR0719r_034_REF_1_1	1124256824	630511770
SR0719r_051_REF_1_1	811996023	450542032
SR0719r_056_REF_1_1	407329429	230961159
SR0719r_061_REF_1_1	1027288318	573366195
SR0719r_075_REF_1_1	1914470584	1077062024
SR0719r_095_REF_1_1	545575565	306457067
SR0719r_403_REF_1_1	417777559	234552300
SR0719r_404_REF_1_1	206744229	115925720
SR0719r_406_REF_1_1	311956771	172911935
SR0719r_413_REF_1_1	81035095	45405740
SR0719r_415_REF_1_1	61006774	33833535
SR0719r_418_REF_1_1	1662667165	932912634
SR0719r_419_REF_1_1	1124571431	629362493
SR0719r_420_REF_1_1	395391948	224130854
SR0719r_422_REF_1_1	286349321	162195776
SR0719r_423_REF_1_1	39016766	21892288
SR0719r_424_REF_1_1	2240469029	1258536020
SR0719r_425_REF_1_1	1231206014	693343177
SR0719r_426_REF_1_1	186336947	104338244
SR0719r_427_REF_1_1	510867677	285861818
