prefix	lane_number	seq_id	sample_id	population	data_type
ARN0419_001_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_001	ARN	pe
ARN0419_002_ARN_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	ARN0419_002	ARN	pe
ARN0419_003_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_003	ARN	pe
ARN0419_004_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_004	ARN	pe
ARN0419_005_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_005	ARN	pe
ARN0419_006_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_006	ARN	pe
ARN0419_007_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_007	ARN	pe
ARN0419_008_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_008	ARN	pe
ARN0419_009_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_009	ARN	pe
ARN0419_010_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_010	ARN	pe
ARN0419_011_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_011	ARN	pe
ARN0419_012_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_012	ARN	pe
ARN0419_013_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_013	ARN	pe
ARN0419_014_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_014	ARN	pe
ARN0419_015_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_015	ARN	pe
ARN0419_016_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_016	ARN	pe
ARN0419_017_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_017	ARN	pe
ARN0419_018_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_018	ARN	pe
ARN0419_019_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_019	ARN	pe
ARN0419_020_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_020	ARN	pe
ARN0419_022_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_022	ARN	pe
ARN0419_023_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_023	ARN	pe
ARN0419_024_ARN_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	ARN0419_024	ARN	pe
ARN0419_025_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_025	ARN	pe
ARN0419_026_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_026	ARN	pe
ARN0419_027_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_027	ARN	pe
ARN0419_028_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_028	ARN	pe
ARN0419_029_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_029	ARN	pe
ARN0419_030_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_030	ARN	pe
ARN0419_031_ARN_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	ARN0419_031	ARN	pe
ARN0419_032_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_032	ARN	pe
ARN0419_033_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_033	ARN	pe
ARN0419_034_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_034	ARN	pe
ARN0419_035_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_035	ARN	pe
ARN0419_036_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_036	ARN	pe
ARN0419_037_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_037	ARN	pe
ARN0419_038_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_038	ARN	pe
ARN0419_039_ARN_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	ARN0419_039	ARN	pe
ARN0419_040_ARN_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	ARN0419_040	ARN	pe
ARN0419_041_ARN_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	ARN0419_041	ARN	pe
