sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
Cv102_REF_1_4_pe	1066190348	402.539494	1063065817	1063065817
Cv104_CHR_1_4_pe	1926179971	403.837148	1922121937	1922121937
Cv105_REF_1_4_pe	1522441593	403.535164	1519627265	1519627265
Cv112_REF_1_4_pe	1522979395	401.942244	1519009448	1519009448
count_bam_merged.sh: line 30: [: !=: unary operator expected
Cv115_CHR_1_4_pe	1953919496	NA	NA	1953919496
Cv121_CHR_1_4_pe	1637032145	402.892796	1633427455	1633427455
Cv125_CHR_1_4_pe	1277693038	400.067670	1270954526	1270954526
Cv128_CHR_1_4_pe	1177405340	398.209581	1171048223	1171048223
Cv129_CHR_1_4_pe	1402397227	397.342569	1397296505	1397296505
Cv133_REF_1_4_pe	2176874108	402.990881	2172034663	2172034663
Cv135_REF_1_4_pe	1691154693	394.917176	1683830874	1683830874
Cv136_CHR_1_4_pe	1877910266	396.490044	1869667628	1869667628
Cv139_CHR_1_4_pe	1090028375	392.850341	1079502755	1079502755
Cv142_CHR_1_4_pe	464260266	398.086349	460769733	460769733
Cv147_REF_1_4_pe	1110582435	406.496927	1108062538	1108062538
Cv150_CHR_1_4_pe	1137824751	401.639432	1133673072	1133673072
Cv15_CHR_1_4_pe	1916782615	398.296104	1910862880	1910862880
Cv161_REF_1_4_pe	1770743761	403.043579	1766942538	1766942538
Cv162_CHR_1_4_pe	1674707445	402.272548	1671184623	1671184623
Cv164_CHR_1_4_pe	2167575915	399.301176	2161195982	2161195982
Cv165_CHR_1_4_pe	2370059302	398.254963	2362668358	2362668358
Cv169_REF_1_4_pe	1706924368	403.976874	1703012216	1703012216
Cv171_REF_1_4_pe	1683533174	403.387568	1679885582	1679885582
Cv174_REF_1_4_pe	1693504843	403.523223	1690359824	1690359824
Cv178_REF_1_4_pe	1084782976	402.150652	1082654684	1082654684
Cv179_CHR_1_4_pe	1427225219	397.369791	1420710265	1420710265
Cv180_CHR_1_4_pe	2107161457	399.160179	2100637404	2100637404
