sample_seq_id	raw_reads	raw_bases	adapter_clipped_bases	qual_filtered_bases
Cv35_REF_1_4	27133184	4069977600	4045369670	3891211024
Cv39_REF_1_4	33401348	5010202200	4982317249	4791979355
Cv42_REF_1_4	3438380	515757000	509429113	486754939
Cv5_REF_1_4	15000806	2250120900	2198523255	2092417259
Cv50_REF_1_4	29692702	4453905300	4422150203	4247656222
Cv54_REF_1_4	32131792	4819768800	4801470623	4549564529
Cv63_REF_1_4	26957010	4043551500	4043004901	3245102342
Cv64_REF_1_4	28661858	4299278700	4269236684	4104178766
Cv68_REF_1_4	44397076	6659561400	6605650890	6342292127
Cv69_REF_1_4	9094428	1364164200	1354712405	1296615377
Cv76_REF_1_4	19129312	2869396800	2846566638	2728386079
Cv82_REF_1_4	41909668	6286450200	6253498424	6009409513
Cv5785_01_NY_1_4	27321098	4098164700	4051421348	3881189105
Cv5785_02_NY_1_4	28350846	4252626900	4203177528	4026384191
Cv5785_03_NY_1_4	33444562	5016684300	4946872922	4736082861
Cv5785_04_NY_1_4	6182876	927431400	908607415	852375493
Cv5785_05_NY_1_4	28076198	4211429700	4154279946	3963472728
Cv5785_06_NY_1_4	36165860	5424879000	5395894079	5184434770
Cv5785_07_NY_1_4	27643276	4146491400	4136217296	3919195878
Cv5785_08_NY_1_4	7154980	1073247000	1060400746	1014155724
Cv5785_09_NY_1_4	27982634	4197395100	4177758633	3998814487
Cv5785_10_NY_1_4	22262028	3339304200	3323503981	3193263751
Cv5785_11_NY_1_4	34245486	5136822900	5112463413	4918448398
Cv5785_12_NY_1_4	27493214	4123982100	4103970027	3934833367
Cv5785_13_NY_1_4	46865250	7029787500	6992353486	6705092611
Cv5785_14_NY_1_4	20498106	3074715900	3059569831	2939810555
Cv5785_15_NY_1_4	16884266	2532639900	2530682173	2336997409
Cv5785_16_NY_1_4	36593094	5488964100	5457948992	5253313782
Cv5785_17_NY_1_4	62569604	9385440600	9338333942	8988694110
Cv5785_18_NY_1_4	27859312	4178896800	4152911822	3929530670
Cv5785_19_NY_1_4	26290282	3943542300	3910244992	3752189891
Cv5785_20_NY_1_4	64322168	9648325200	9602702748	9252008109
Cv5785_21_NY_1_4	41177084	6176562600	6150013309	5921603047
Cv5785_22_NY_1_4	23007406	3451110900	3435283168	3289118370
Cv5785_23_NY_1_4	14823886	2223582900	2207411168	2118202968
Cv5785_24_NY_1_4	42269368	6340405200	6312716208	6077760140
Cv5785_25_NY_1_4	34080458	5112068700	5090701143	4893123590
Cv5785_26_NY_1_4	25510132	3826519800	3808025447	3646539399
Cv5785_27_NY_1_4	29619440	4442916000	4419631741	4249912450
Cv5785_28_NY_1_4	30375480	4556322000	4534178389	4357548576
Cv5785_29_NY_1_4	35226936	5284040400	5259204359	5062738415
Cv5785_30_NY_1_4	51206146	7680921900	7651534272	7324897685
Cv5786_01_NY_1_4	18969880	2845482000	2832422539	2722457512
Cv5786_02_NY_1_4	34518872	5177830800	5153720930	4951868810
Cv5786_03_NY_1_4	16934630	2540194500	2529341733	2424297863
Cv5786_04_NY_1_4	17728048	2659207200	2647597726	2542982416
Cv5786_05_NY_1_4	5374254	806138100	798848331	765593410
Cv5786_06_NY_1_4	20344578	3051686700	3036677739	2902993621
Cv5786_07_NY_1_4	32140038	4821005700	4798360741	4614239876
Cv5786_08_NY_1_4	20289104	3043365600	3029948476	2914550411
Cv5786_09_NY_1_4	29445090	4416763500	4393462976	4215585426
Cv5786_10_NY_1_4	27696976	4154546400	4138105667	3983334823
Cv5786_11_NY_1_4	24713740	3707061000	3690268829	3550507381
Cv5786_12_NY_1_4	40195112	6029266800	5999277210	5767546510
Cv5786_13_NY_1_4	45355934	6803390100	6775286567	6507829154
Cv5786_14_NY_1_4	31465570	4719835500	4697408033	4513512191
Cv5786_15_NY_1_4	25760276	3864041400	3841954200	3687571741
Cv5786_16_NY_1_4	27692670	4153900500	4132330295	3971892717
Cv5786_17_NY_1_4	44318682	6647802300	6598087047	6338693304
Cv5786_18_NY_1_4	53353380	8003007000	7960292224	7651812713
Cv5786_19_NY_1_4	52989462	7948419300	7917693370	7622445816
Cv5786_20_NY_1_4	47872022	7180803300	7167068068	6749062926
Cv5786_21_NY_1_4	38607936	5791190400	5763180181	5535514397
Cv5786_22_NY_1_4	15219176	2282876400	2267632806	2149476207
Cv5786_23_NY_1_4	19930308	2989546200	2969481275	2855994990
Cv5786_24_NY_1_4	10640040	1596006000	1585242743	1504235451
Cv5786_25_NY_1_4	19626888	2944033200	2926016443	2808072031
Cv5786_26_NY_1_4	45274704	6791205600	6754782536	6501389388
Cv5786_27_NY_1_4	23272834	3490925100	3469673948	3334020853
Cv5786_28_NY_1_4	28933530	4340029500	4320898026	4127914437
Cv5786_29_NY_1_4	27811692	4171753800	4166387879	3882682920
Cv5786_30_NY_1_4	59137896	8870684400	8823239038	8491797682
HH13a_01_CT_1_4	33301846	4995276900	4977567254	4794973349
HH13a_02_CT_1_4	29680248	4452037200	4429684716	4253895400
HH13a_03_CT_1_4	30960878	4644131700	4620977017	4434652755
HH13a_04_CT_1_4	34639022	5195853300	5170492631	4949350790
HH13a_05_CT_1_4	35020218	5253032700	5230287450	5016382109
HH13a_06_CT_1_4	31364302	4704645300	4681604743	4496098056
HH13a_07_CT_1_4	32953740	4943061000	4921367416	4724795151
HH13a_08_CT_1_4	28543784	4281567600	4263470180	4097953619
HH13a_09_CT_1_4	24357222	3653583300	3634105779	3490827368
HH13a_10_CT_1_4	46418336	6962750400	6933858084	6672355489
HH13a_11_CT_1_4	30055938	4508390700	4486001357	4313191605
HH13a_12_CT_1_4	38012312	5701846800	5674794706	5463326622
HH13a_13_CT_1_4	38532202	5779830300	5754210708	5525583406
HH13a_14_CT_1_4	42200258	6330038700	6299407520	6052184911
HH13a_15_CT_1_4	36951968	5542795200	5515173725	5288463807
HH13a_16_CT_1_4	17594858	2639228700	2596521659	2471661042
HH13a_17_CT_1_4	30077994	4511699100	4491378746	4316315540
HH13a_18_CT_1_4	30112340	4516851000	4481154944	4301127953
HH13a_19_CT_1_4	51599736	7739960400	7704135559	7365682185
HH13a_20_CT_1_4	42353596	6353039400	6312580853	6064814687
HH13a_21_CT_1_4	33633734	5045060100	4993485433	4793615458
HH13a_22_CT_1_4	51430866	7714629900	7676965421	7401467335
HH13a_23_CT_1_4	53853658	8078048700	8038628180	7732942285
HH13a_24_CT_1_4	49166690	7375003500	7338382526	6993154341
HH13a_25_CT_1_4	26634162	3995124300	3971530879	3808135015
Cv104_CHR_1_4	44943634	6741545100	6728901933	6387661326
Cv115_CHR_1_4	40730210	6109531500	6076733718	5846945472
Cv121_CHR_1_4	35156530	5273479500	5256193703	5008760909
Cv125_CHR_1_4	26771414	4015712100	3970147223	3802471102
Cv128_CHR_1_4	25070650	3760597500	3719435806	3551991124
Cv129_CHR_1_4	29704852	4455727800	4440182026	4210963073
Cv136_CHR_1_4	42639808	6395971200	6357328516	6104757128
Cv139_CHR_1_4	22082254	3312338100	3242079481	3088604026
Cv142_CHR_1_4	8821162	1323174300	1300934907	1234392368
Cv15_CHR_1_4	41278958	6191843700	6158060409	5924374680
Cv150_CHR_1_4	22974676	3446201400	3416697874	3269770062
Cv162_CHR_1_4	35577386	5336607900	5307991119	5105025575
Cv164_CHR_1_4	44731412	6709711800	6675433219	6424809846
Cv165_CHR_1_4	58982710	8847406500	8801398162	8455508904
Cv179_CHR_1_4	30383534	4557530100	4523222599	4337136923
Cv180_CHR_1_4	45821980	6873297000	6836682039	6579462537
Cv188_CHR_1_4	78900780	11835117000	11781093014	11347663515
Cv19_CHR_1_4	38409298	5761394700	5733733940	5515613990
Cv199_CHR_1_4	9391840	1408776000	1396398089	1329787437
Cv216_CHR_1_4	46574630	6986194500	6947816771	6681225794
Cv220_CHR_1_4	62984446	9447666900	9415456463	9005418583
Cv230_CHR_1_4	42930848	6439627200	6412299396	6186613989
Cv240_CHR_1_4	30859314	4628897100	4605797474	4431240889
Cv241_CHR_1_4	44810906	6721635900	6690345512	6436113069
Cv242_CHR_1_4	48184490	7227673500	7190184557	6913798172
Cv247_CHR_1_4	35393070	5308960500	5271446001	5029181989
Cv249_CHR_1_4	49405122	7410768300	7373277363	7084575656
Cv259_CHR_1_4	33867860	5080179000	5054197730	4866596206
Cv263_CHR_1_4	40091290	6013693500	5975731721	5730733726
Cv270_CHR_1_4	34393890	5159083500	5134034765	4935151958
Cv277_CHR_1_4	4393168	658975200	648499981	618216830
Cv279_CHR_1_4	37529526	5629428900	5599341828	5385134761
Cv28_CHR_1_4	39842170	5976325500	5947574224	5692313311
Cv290_CHR_1_4	38286472	5742970800	5720385398	5460941248
Cv294_CHR_1_4	46177266	6926589900	6899527320	6649599467
Cv299_CHR_1_4	37322064	5598309600	5545498272	5321894781
Cv300_CHR_1_4	35602346	5340351900	5314335294	5099476914
Cv304_CHR_1_4	37269580	5590437000	5571238940	5353168738
Cv311_CHR_1_4	52319106	7847865900	7816797719	7528154489
Cv316_CHR_1_4	38220738	5733110700	5705634912	5488187342
Cv318_CHR_1_4	46676796	7001519400	6967553031	6701034187
Cv326_CHR_1_4	40427518	6064127700	6036320028	5796175914
Cv331_CHR_1_4	61836946	9275541900	9208502882	8852234958
Cv348_CHR_1_4	28783876	4317581400	4281920888	4108404682
Cv41_CHR_1_4	31680194	4752029100	4727627601	4540024479
Cv44_CHR_1_4	33319682	4997952300	4971729243	4761214314
Cv47_CHR_1_4	39875502	5981325300	5953034308	5724830141
Cv56_CHR_1_4	42231862	6334779300	6303564601	6067809094
Cv72_CHR_1_4	45432080	6814812000	6785015246	6526609686
Cv78_CHR_1_4	56395052	8459257800	8421287991	8102652299
Cv87_CHR_1_4	26647164	3997074600	3976101766	3818843396
Cv102_REF_1_4	21778674	3266801100	3244000698	3117422645
Cv105_REF_1_4	32255274	4838291100	4814339515	4634358817
Cv112_REF_1_4	30301308	4545196200	4520309211	4339052933
Cv133_REF_1_4	48598626	7289793900	7256076085	6970741158
Cv135_REF_1_4	66099684	9914952600	9865439082	9536857850
Cv147_REF_1_4	22586598	3387989700	3370869276	3239313510
Cv161_REF_1_4	36407754	5461163100	5436203826	5232596686
Cv169_REF_1_4	37660952	5649142800	5620348738	5404833631
Cv171_REF_1_4	39207846	5881176900	5850636752	5627896258
Cv174_REF_1_4	36437476	5465621400	5442323620	5225569501
Cv178_REF_1_4	21347800	3202170000	3198147428	2976259374
Cv181_REF_1_4	32823858	4923578700	4901412705	4122992973
Cv183_REF_1_4	35551498	5332724700	5305227113	5104988819
Cv193_REF_1_4	15165356	2274803400	2259026484	2161639963
Cv194_REF_1_4	16417896	2462684400	2449388569	2350922583
Cv20_REF_1_4	33639648	5045947200	4989587667	4767263844
Cv203_REF_1_4	32180096	4827014400	4808392232	4597313144
Cv209_REF_1_4	13517702	2027655300	2016703327	1935967533
Cv213_REF_1_4	46516832	6977524800	6940201688	6668690900
Cv214_REF_1_4	6057896	908684400	900986199	855455133
Cv218_REF_1_4	15248358	2287253700	2241362768	2137258474
Cv226_REF_1_4	39268742	5890311300	5864358011	5642520950
Cv243_REF_1_4	41356088	6203413200	6175937157	5947021045
Cv257_REF_1_4	60838488	9125773200	9090821576	8745128620
Cv261_REF_1_4	40726068	6108910200	6080746854	5850135778
Cv268_REF_1_4	28654150	4298122500	4297450989	3128881198
Cv27_REF_1_4	28803528	4320529200	4295565895	4080843856
Cv275_REF_1_4	41680914	6252137100	6222672525	5981875308
Cv278_REF_1_4	34582150	5187322500	5160677124	4960739225
Cv283_REF_1_4	30045582	4506837300	4479060437	4299752734
Cv295_REF_1_4	60097588	9014638200	8972088127	8636833488
Cv301_REF_1_4	37994796	5699219400	5670797449	5430238422
Cv305_REF_1_4	39433534	5915030100	5880388257	5652222891
Cv315_REF_1_4	40602602	6090390300	6061122271	5838268888
Cv321_REF_1_4	30199850	4529977500	4503823217	4327159668
Cv328_REF_1_4	27007134	4051070100	4032423878	3873812162
Cv33_REF_1_4	44240070	6636010500	6595909242	6341697587
Cv330_REF_1_4	37601796	5640269400	5612566549	5351502338
Cv332_REF_1_4	31432354	4714853100	4692375963	4497331054
