prefix	lane_number	seq_id	sample_id	population	data_type
Cv104_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv104	CHR	pe
Cv115_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv115	CHR	pe
Cv121_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv121	CHR	pe
Cv125_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv125	CHR	pe
Cv128_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv128	CHR	pe
Cv129_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv129	CHR	pe
Cv136_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv136	CHR	pe
Cv139_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv139	CHR	pe
Cv142_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv142	CHR	pe
Cv15_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv15	CHR	pe
Cv150_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv150	CHR	pe
Cv162_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv162	CHR	pe
Cv164_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv164	CHR	pe
Cv165_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv165	CHR	pe
Cv179_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv179	CHR	pe
Cv180_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv180	CHR	pe
Cv188_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv188	CHR	pe
Cv19_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv19	CHR	pe
Cv199_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv199	CHR	pe
Cv216_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv216	CHR	pe
Cv220_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv220	CHR	pe
Cv230_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv230	CHR	pe
Cv240_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv240	CHR	pe
Cv241_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv241	CHR	pe
Cv242_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv242	CHR	pe
Cv247_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv247	CHR	pe
Cv249_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv249	CHR	pe
Cv259_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv259	CHR	pe
Cv263_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv263	CHR	pe
Cv270_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv270	CHR	pe
Cv277_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv277	CHR	pe
Cv279_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv279	CHR	pe
Cv28_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv28	CHR	pe
Cv290_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv290	CHR	pe
Cv294_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv294	CHR	pe
Cv299_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv299	CHR	pe
Cv300_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv300	CHR	pe
Cv304_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv304	CHR	pe
Cv311_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv311	CHR	pe
Cv316_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv316	CHR	pe
Cv318_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv318	CHR	pe
Cv326_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv326	CHR	pe
Cv331_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv331	CHR	pe
Cv348_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv348	CHR	pe
Cv41_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv41	CHR	pe
Cv44_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv44	CHR	pe
Cv47_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv47	CHR	pe
Cv56_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv56	CHR	pe
Cv72_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv72	CHR	pe
Cv78_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv78	CHR	pe
Cv87_CHR_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	Cv87	CHR	pe
HH13a_01_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_01	CT	pe
HH13a_02_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_02	CT	pe
HH13a_03_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_03	CT	pe
HH13a_04_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_04	CT	pe
HH13a_05_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_05	CT	pe
HH13a_06_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_06	CT	pe
HH13a_07_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_07	CT	pe
HH13a_08_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_08	CT	pe
HH13a_09_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_09	CT	pe
HH13a_10_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_10	CT	pe
HH13a_11_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_11	CT	pe
HH13a_12_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_12	CT	pe
HH13a_13_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_13	CT	pe
HH13a_14_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_14	CT	pe
HH13a_15_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_15	CT	pe
HH13a_16_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_16	CT	pe
HH13a_17_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_17	CT	pe
HH13a_18_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_18	CT	pe
HH13a_19_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_19	CT	pe
HH13a_20_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_20	CT	pe
HH13a_21_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_21	CT	pe
HH13a_22_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_22	CT	pe
HH13a_23_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_23	CT	pe
HH13a_24_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_24	CT	pe
HH13a_25_CT_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HH13a_25	CT	pe
