prefix	lane_number	seq_id	sample_id	population	data_type
Cv102_CKDL210000056-1a-AK16446-AK17095_HNMTKDSXY_L4	4	1	Cv102	REF	pe
Cv104_CKDL210000056-1a-AK19832-AK11689_HNMTKDSXY_L4	4	1	Cv104	CHR	pe
Cv105_CKDL210000056-1a-AK11429-AK11386_HNMTKDSXY_L4	4	1	Cv105	REF	pe
Cv112_CKDL210000056-1a-AK11518-AK11461_HNMTKDSXY_L4	4	1	Cv112	REF	pe
Cv115_CKDL210000056-1a-AK11205-AK11725_HNMTKDSXY_L4	4	1	Cv115	CHR	pe
Cv121_CKDL210000056-1a-AK11299-AK97_HNMTKDSXY_L4	4	1	Cv121	CHR	pe
Cv125_CKDL210000056-1a-AK12632-AK17411_HNMTKDSXY_L4	4	1	Cv125	CHR	pe
Cv128_CKDL210000056-1a-AK14449-AK11235_HNMTKDSXY_L4	4	1	Cv128	CHR	pe
Cv129_CKDL210000056-1a-AK11607-AK5130_HNMTKDSXY_L4	4	1	Cv129	CHR	pe
Cv133_CKDL210000056-1a-AK9800-AK11359_HNMTKDSXY_L4	4	1	Cv133	REF	pe
Cv135_CKDL210000056-1a-AK17115-AK11421_HNMTKDSXY_L4	4	1	Cv135	REF	pe
Cv136_CKDL210000056-1a-AK19833-AK11292_HNMTKDSXY_L4	4	1	Cv136	CHR	pe
Cv139_CKDL210000056-1a-AK12640-AK17416_HNMTKDSXY_L4	4	1	Cv139	CHR	pe
Cv142_CKDL210000056-1a-AK17131-AK11357_HNMTKDSXY_L4	4	1	Cv142	CHR	pe
Cv147_CKDL210000056-1a-AK11642-AK11432_HNMTKDSXY_L4	4	1	Cv147	REF	pe
Cv15_CKDL210000056-1a-AK19829-AK11642_HNMTKDSXY_L4	4	1	Cv15	CHR	pe
Cv150_CKDL210000056-1a-AK19834-AK8485_HNMTKDSXY_L4	4	1	Cv150	CHR	pe
Cv161_CKDL210000056-1a-AK17136-AK11664_HNMTKDSXY_L4	4	1	Cv161	REF	pe
Cv162_CKDL210000056-1a-AK11592-AK11509_HNMTKDSXY_L4	4	1	Cv162	CHR	pe
Cv164_CKDL210000056-1a-AK17417-AK17418_HNMTKDSXY_L4	4	1	Cv164	CHR	pe
Cv165_CKDL210000056-1a-AK2292-AK11709_HNMTKDSXY_L4	4	1	Cv165	CHR	pe
Cv169_CKDL210000056-1a-AK17067-AK4527_HNMTKDSXY_L4	4	1	Cv169	REF	pe
Cv171_CKDL210000056-1a-AK12661-AK11350_HNMTKDSXY_L4	4	1	Cv171	REF	pe
Cv174_CKDL210000056-1a-AK19828-AK11496_HNMTKDSXY_L4	4	1	Cv174	REF	pe
Cv178_CKDL210000056-1a-AK7993-AK11705_HNMTKDSXY_L4	4	1	Cv178	REF	pe
Cv179_CKDL210000056-1a-AK19835-AK11159_HNMTKDSXY_L4	4	1	Cv179	CHR	pe
Cv180_CKDL210000056-1a-AK12655-AK16446_HNMTKDSXY_L4	4	1	Cv180	CHR	pe
Cv181_CKDL210000056-1a-AK11307-AK17100_HNMTKDSXY_L4	4	1	Cv181	REF	pe
Cv183_CKDL210000056-1a-AK2559-AK11189_HNMTKDSXY_L4	4	1	Cv183	REF	pe
Cv188_CKDL210000056-1a-AK11311-AK3482_HNMTKDSXY_L4	4	1	Cv188	CHR	pe
Cv19_CKDL210000056-1a-AK11682-AK11332_HNMTKDSXY_L4	4	1	Cv19	CHR	pe
Cv193_CKDL210000056-1a-AK11364-AK13183_HNMTKDSXY_L4	4	1	Cv193	REF	pe
Cv194_CKDL210000056-1a-AK12644-AK11597_HNMTKDSXY_L4	4	1	Cv194	REF	pe
Cv199_CKDL210000056-1a-AK11140-A4_HNMTKDSXY_L4	4	1	Cv199	CHR	pe
Cv20_CKDL210000056-1a-AK11693-AK11463_HNMTKDSXY_L4	4	1	Cv20	REF	pe
Cv203_CKDL210000056-1a-AK18848-AK11569_HNMTKDSXY_L4	4	1	Cv203	REF	pe
Cv209_CKDL210000056-1a-AK11583-AK12659_HNMTKDSXY_L4	4	1	Cv209	REF	pe
Cv213_CKDL210000056-1a-AK11233-AK11205_HNMTKDSXY_L4	4	1	Cv213	REF	pe
Cv214_CKDL210000056-1a-5UDI911-AK11203_HNMTKDSXY_L4	4	1	Cv214	REF	pe
Cv216_CKDL210000056-1a-AK11323-AK11110_HNMTKDSXY_L4	4	1	Cv216	CHR	pe
Cv218_CKDL210000056-1a-7UDI280-AK11167_HNMTKDSXY_L4	4	1	Cv218	REF	pe
Cv220_CKDL210000056-1a-AK11181-AK12536_HNMTKDSXY_L4	4	1	Cv220	CHR	pe
Cv226_CKDL210000056-1a-AK6706-AK17115_HNMTKDSXY_L4	4	1	Cv226	REF	pe
Cv230_CKDL210000056-1a-AK11172-5UDI1027_HNMTKDSXY_L4	4	1	Cv230	CHR	pe
Cv240_CKDL210000056-1a-AK11347-AK16449_HNMTKDSXY_L4	4	1	Cv240	CHR	pe
Cv241_CKDL210000056-1a-AK11273-AK7478_HNMTKDSXY_L4	4	1	Cv241	CHR	pe
Cv242_CKDL210000056-1a-AK11317-AK16450_HNMTKDSXY_L4	4	1	Cv242	CHR	pe
Cv243_CKDL210000056-1a-AK11571-AK9536_HNMTKDSXY_L4	4	1	Cv243	REF	pe
Cv247_CKDL210000056-1a-AK11371-AK11185_HNMTKDSXY_L4	4	1	Cv247	CHR	pe
Cv249_CKDL210000056-1a-AK17125-AK11150_HNMTKDSXY_L4	4	1	Cv249	CHR	pe
Cv257_CKDL210000056-1a-AK11271-AK15638_HNMTKDSXY_L4	4	1	Cv257	REF	pe
Cv259_CKDL210000056-1a-AK7618-AK13493_HNMTKDSXY_L4	4	1	Cv259	CHR	pe
Cv261_CKDL210000056-1a-AK18849-AK11198_HNMTKDSXY_L4	4	1	Cv261	REF	pe
Cv263_CKDL210000056-1a-AK11614-AK11521_HNMTKDSXY_L4	4	1	Cv263	CHR	pe
Cv268_CKDL210000056-1a-AK17117-AK17118_HNMTKDSXY_L4	4	1	Cv268	REF	pe
Cv27_CKDL210000056-1a-AK12636-AK11392_HNMTKDSXY_L4	4	1	Cv27	REF	pe
Cv270_CKDL210000056-1a-AK11332-AK12653_HNMTKDSXY_L4	4	1	Cv270	CHR	pe
Cv275_CKDL210000056-1a-AK11196-AK11525_HNMTKDSXY_L4	4	1	Cv275	REF	pe
Cv277_CKDL210000056-1a-AK11331-AK6117_HNMTKDSXY_L4	4	1	Cv277	CHR	pe
Cv278_CKDL210000056-1a-AK11263-AK17119_HNMTKDSXY_L4	4	1	Cv278	REF	pe
Cv279_CKDL210000056-1a-AK5781-7UDI1504_HNMTKDSXY_L4	4	1	Cv279	CHR	pe
Cv28_CKDL210000056-1a-AK17024-AK11623_HNMTKDSXY_L4	4	1	Cv28	CHR	pe
Cv283_CKDL210000056-1a-AK9674-AK4547_HNMTKDSXY_L4	4	1	Cv283	REF	pe
Cv290_CKDL210000056-1a-AK11279-AK12787_HNMTKDSXY_L4	4	1	Cv290	CHR	pe
Cv294_CKDL210000056-1a-AK11290-AK17125_HNMTKDSXY_L4	4	1	Cv294	CHR	pe
Cv295_CKDL210000056-1a-AK9081-AK17121_HNMTKDSXY_L4	4	1	Cv295	REF	pe
Cv299_CKDL210000056-1a-AK11253-AK17126_HNMTKDSXY_L4	4	1	Cv299	CHR	pe
Cv300_CKDL210000056-1a-AK5729-AK11176_HNMTKDSXY_L4	4	1	Cv300	CHR	pe
Cv301_CKDL210000056-1a-AK11313-AK12644_HNMTKDSXY_L4	4	1	Cv301	REF	pe
Cv304_CKDL210000056-1a-AK529-AK11213_HNMTKDSXY_L4	4	1	Cv304	CHR	pe
Cv305_CKDL210000056-1a-AK11110-AK11165_HNMTKDSXY_L4	4	1	Cv305	REF	pe
Cv311_CKDL210000056-1a-AK11286-AK12642_HNMTKDSXY_L4	4	1	Cv311	CHR	pe
Cv315_CKDL210000056-1a-AK12652-AK6706_HNMTKDSXY_L4	4	1	Cv315	REF	pe
Cv316_CKDL210000056-1a-AK1874-AK17128_HNMTKDSXY_L4	4	1	Cv316	CHR	pe
Cv318_CKDL210000056-1a-AK11275-AK17129_HNMTKDSXY_L4	4	1	Cv318	CHR	pe
Cv321_CKDL210000056-1a-AK11301-AK11140_HNMTKDSXY_L4	4	1	Cv321	REF	pe
Cv326_CKDL210000056-1a-AK11207-AK17130_HNMTKDSXY_L4	4	1	Cv326	CHR	pe
Cv328_CKDL210000056-1a-AK11169-AK11138_HNMTKDSXY_L4	4	1	Cv328	REF	pe
Cv33_CKDL210000056-1a-AK11478-AK729_HNMTKDSXY_L4	4	1	Cv33	REF	pe
Cv330_CKDL210000056-1a-AK11167-AK13894_HNMTKDSXY_L4	4	1	Cv330	REF	pe
Cv331_CKDL210000056-1a-AK11226-AK17131_HNMTKDSXY_L4	4	1	Cv331	CHR	pe
Cv332_CKDL210000056-1a-AK11142-AK10623_HNMTKDSXY_L4	4	1	Cv332	REF	pe
Cv348_CKDL210000056-1a-AK11590-AK17132_HNMTKDSXY_L4	4	1	Cv348	CHR	pe
Cv35_CKDL210000056-1a-AK11719-AK11368_HNMTKDSXY_L4	4	1	Cv35	REF	pe
Cv39_CKDL210000056-1a-AK9879-AK11366_HNMTKDSXY_L4	4	1	Cv39	REF	pe
Cv41_CKDL210000056-1a-AK6117-AK5534_HNMTKDSXY_L4	4	1	Cv41	CHR	pe
Cv42_CKDL210000056-1a-AK11441-AK11607_HNMTKDSXY_L4	4	1	Cv42	REF	pe
Cv44_CKDL210000056-1a-AK10551-AK11695_HNMTKDSXY_L4	4	1	Cv44	CHR	pe
Cv47_CKDL210000056-1a-AK19830-AK7808_HNMTKDSXY_L4	4	1	Cv47	CHR	pe
Cv5_CKDL210000056-1a-AK11666-AK12634_HNMTKDSXY_L4	4	1	Cv5	REF	pe
Cv50_CKDL210000056-1a-AK12634-AK11400_HNMTKDSXY_L4	4	1	Cv50	REF	pe
Cv54_CKDL210000056-1a-AK11639-AK11639_HNMTKDSXY_L4	4	1	Cv54	REF	pe
Cv56_CKDL210000056-1a-AK19831-AK11507_HNMTKDSXY_L4	4	1	Cv56	CHR	pe
Cv5785_01_CKDL210000056-1a-7UDI2744-AK11866_HNMTKDSXY_L4	4	1	Cv5785_01	NY	pe
Cv5785_10_CKDL210000056-1a-AK19837-AK11579_HNMTKDSXY_L4	4	1	Cv5785_02	NY	pe
Cv5785_11_CKDL210000056-1a-AK11262-AK17431_HNMTKDSXY_L4	4	1	Cv5785_03	NY	pe
Cv5785_12_CKDL210000056-1a-7UDI481-AK17432_HNMTKDSXY_L4	4	1	Cv5785_04	NY	pe
Cv5785_13_CKDL210000056-1a-AK19838-AK17436_HNMTKDSXY_L4	4	1	Cv5785_05	NY	pe
Cv5785_14_CKDL210000056-1a-AK11594-AK17438_HNMTKDSXY_L4	4	1	Cv5785_06	NY	pe
Cv5785_15_CKDL210000056-1a-AK19839-AK11236_HNMTKDSXY_L4	4	1	Cv5785_07	NY	pe
Cv5785_16_CKDL210000056-1a-AK17401-AK11574_HNMTKDSXY_L4	4	1	Cv5785_08	NY	pe
Cv5785_17_CKDL210000056-1a-AK11242-AK11523_HNMTKDSXY_L4	4	1	Cv5785_09	NY	pe
