bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv102_REF	1.54659790495318	2.37534069833817	3.59047401650189	1.20643836867424	0	0.430750340441067
Cv104_CHR	2.79647583546262	4.0218067485336	5.99869812918525	2.17253246439824	0	0.466180457032515
Cv105_REF	2.21075391282624	3.26550517632169	4.87392489904876	1.68448356199253	0	0.453588013483542
Cv112_REF	2.20983606376653	3.24556040221188	4.87997042861651	1.6806933655741	0	0.452838003035798
Cv115_CHR	2.83625745787144	4.08030012270439	6.06342187772028	2.17512095424859	0	0.467765152263499
Cv121_CHR	2.37638426473932	3.46454200877528	5.17260379542604	1.90281529926407	0	0.459417415043894
Cv125_CHR	1.84905276056523	2.78804329389643	4.16833110145608	1.44646868226182	0	0.44359546196267
Cv128_CHR	1.70376344766528	2.62421826080527	3.91803970426462	1.23142697471153	0	0.434850990869647
Cv129_CHR	2.03287603749671	3.03610707114418	4.53962777189733	1.63816184993116	0	0.447806767348142
Cv133_REF	3.15992287672557	4.5321415688483	6.67365669092522	2.60927206776209	0	0.473491973451316
Cv135_REF	2.449800433193	3.60696362605647	5.28563252787805	1.92238483367572	0	0.463482926645528
Cv136_CHR	2.72007939327531	3.93249186959619	5.85815192743251	2.15817124458414	0	0.464323805010293
Cv139_CHR	1.57049233648543	2.42181853506203	3.65534011405548	1.20719658520527	0	0.429643285571712
Cv142_CHR	0.670402399139039	1.20292613828903	2.02721263862059	0.509707467584155	0	0.330701568432735
Cv147_REF	1.61206773897708	2.4649788165617	3.73240222367699	1.22117678858849	0	0.431911579291028
Cv150_CHR	1.64933030136234	2.51557152503135	3.79110686767961	1.23255880519197	0	0.435052442183669
Cv15_CHR	2.77991022177855	4.0020383121152	5.95776021784119	2.17480001171319	0	0.466603240166406
Cv161_REF	2.57056461781764	3.71971637755615	5.55528635518734	2.12009985584715	0	0.462724052994229
Cv162_CHR	2.43119220231732	3.56030149070862	5.29069873061858	1.91131437402964	0	0.459521950899961
Cv164_CHR	3.14404774587928	4.48757107244959	6.68520480962066	2.56759405785796	0	0.470299390282863
Cv165_CHR	3.43740561469408	4.86864437444062	7.24186360478248	2.85393915257507	0	0.474657602281486
Cv169_REF	2.47760721771485	3.60887291344612	5.35191768924347	1.9322641669047	0	0.46293821422101
Cv171_REF	2.44389385648081	3.57840404264791	5.30373627460838	1.93159773915745	0	0.46078721300351
Cv174_REF	2.45915004246509	3.59920389288851	5.3434647179037	1.91594551584897	0	0.46021638998147
Cv178_REF	1.57517315799325	2.42192905353473	3.68362013438254	1.20061809762184	0	0.427615525089359
Cv179_CHR	2.06695020515744	3.06075074520606	4.55268119225618	1.66884199569504	0	0.45400723614779
Cv180_CHR	3.05606867388113	4.39949969957973	6.4846699721788	2.40980645722397	0	0.471275899466638
Cv181_REF	2.07140756265386	3.08653997185615	4.61116845938281	1.64605420138561	0	0.449215330322615
Cv183_REF	2.41441418135335	3.53834759788323	5.26280776550933	1.90347227892634	0	0.458769213874356
Cv188_CHR	3.65426227180152	5.1849342920294	7.62177541288647	3.09369004111036	0	0.479450268978147
Cv193_REF	0.954115516484938	1.65180347887812	2.57489607731788	0.702319709890878	0	0.370545252248964
Cv194_REF	0.974834616622982	1.67300546929666	2.60243319063783	0.712702768576549	0	0.37458583764228
Cv199_CHR	0.644344516428221	1.20968198567776	2.02351665835016	0.482551472163542	0	0.318428076077241
Cv19_CHR	2.61959336697148	3.77842294891295	5.64717928522288	2.12764987740271	0	0.463876430101041
Cv203_REF	2.22504490339322	3.27876707193317	4.88255692879551	1.69538606851746	0	0.455713048683706
