Group	Raw data	Raw reads
DB18_adult_wild	3.3	22076662
DB18_adult_wild	2.5	16810460
DB18_adult_wild	2.8	18419430
DB18_adult_wild	3	19715632
DB18_adult_wild	1.8	12267686
DB18_adult_wild	2.7	18266546
DB18_adult_wild	0.5	3312024
DB18_adult_wild	3.6	23928088
DB18_adult_wild	3.4	22760908
DB18_adult_wild	3.5	23422742
DB18_adult_wild	3	20031758
DB18_adult_wild	2.3	15098850
DB18_adult_wild	2.9	19163682
DB18_adult_wild	4.2	27806644
DB18_adult_wild	2.6	17627764
DB18_adult_wild	2.8	18571232
DB18_adult_wild	2.1	13900072
DB18_adult_wild	2.1	14041292
DB18_adult_wild	3	20068956
DB18_adult_wild	2.3	15473294
DB18_adult_wild	2.7	17933502
DB18_adult_wild	2.6	17489710
DB18_adult_wild	2.2	14521028
DB18_adult_wild	2.8	18464250
DB18_adult_wild	1.9	12980450
DB18_adult_wild	3.2	21217512
DB18_adult_wild	2.3	15530008
DB18_adult_wild	2.7	18120272
DB18_adult_wild	1.7	11339042
DB18_adult_wild	2.6	17380794
DB18_adult_wild	3.1	20469304
DB18_adult_wild	3.7	24772568
DB18_adult_wild	2.8	18788576
DB18_adult_wild	2.5	16701940
DB18_adult_wild	1.9	12765530
DB18_adult_wild	1.8	11878080
DB18_adult_wild	2.5	16731914
DB18_adult_wild	2.8	18372126
DB18_adult_wild	2.4	16268420
DB18_adult_wild	2.5	16967882
DB18_adult_wild	3.2	21038550
DB18_adult_wild	2.8	18433868
DB18_adult_wild	3.1	20774896
DB18_adult_wild	1.6	10813508
DB18_adult_wild	3.2	21170598
DB18_adult_wild	1.8	11904046
DB18_adult_wild	2.3	15655750
DB18_adult_wild	3.4	22700356
DB18_adult_wild	2.9	19260676
DB18_adult_wild	1.7	11051636
DB18_adult_wild	2	13032990
DB18_adult_wild	2.9	19536900
DB18_adult_wild	1.9	12936628
DB18_adult_wild	3.1	20869356
DB18_adult_wild	2.3	15077760
DB18_adult_wild	1.8	12012074
DB18_adult_wild	1.3	8402096
DB18_adult_wild	1.7	11614910
DB18_adult_wild	1.9	12990660
DB18_adult_wild	1.8	12220814
DB18_adult_wild	0.8	5112944
DB18_adult_wild	3.2	21320870
DB18_adult_wild	2	13281828
DB18_adult_wild	2.1	14114100
DB18_adult_wild	1.7	11541880
DB18_adult_wild	2.7	17817118
DB18_adult_wild	2.3	15426352
DB18_adult_wild	2.7	18219438
DB18_adult_wild	1.8	12251810
DB18_adult_wild	2.6	17156692
DB18_adult_wild	2.6	17431644
DB18_adult_wild	2.4	15873734
DB18_adult_wild	3.3	21855278
DB18_adult_wild	2.7	18270010
DB18_adult_wild	2.4	16119828
DB18_adult_wild	5.6	37545540
DB18_adult_wild	0.1	903448
DB18_adult_wild	2.6	17070462
DB18_adult_wild	2.2	14536848
DB18_adult_wild	1.4	9039400
DB18_adult_wild	2.3	15268098
DB18_adult_wild	2.2	14558712
DB18_adult_wild	2.5	16828846
DB18_adult_wild	1.8	11673196
DB18_adult_wild	1.9	12998992
DB18_adult_wild	3.1	20398100
DB18_adult_wild	2.2	14378402
DB18_adult_wild	1.8	11732204
DB18_adult_wild	2.2	14635144
DB18_adult_wild	2.2	14339952
DB18_adult_wild	1.9	12884722
DB18_adult_wild	2.3	15059108
DB18_adult_wild	2.4	16044216
DB18_adult_wild	2.9	19223306
DB18_adult_wild	1.8	12283742
DB18_adult_wild	2.1	13996462
DB18_adult_wild	1.9	12521390
DB18_adult_wild	2.7	18057006
DB18_adult_wild	2.9	19254470
DB18_adult_wild	2.6	17253562
DB18_adult_wild	2.4	16258964
DB18_adult_wild	2.2	14436918
DB18_adult_wild	2.2	14938376
DB18_adult_wild	1.9	12446878
DB18_adult_wild	1.4	9622656
DB18_adult_wild	1.4	9196476
DB18_adult_wild	2.3	15636848
DB18_adult_wild	1.8	11884652
DB18_adult_wild	1.9	12374512
DB18_adult_wild	1.4	9150844
DB18_adult_wild	1.7	11122930
DB18_adult_wild	2.8	18999434
DB18_adult_wild	1.6	10602818
DB18_adult_wild	2.3	15587122
DB18_adult_wild	1.9	12471158
DB18_adult_wild	3.2	21334950
DB18_adult_wild	2.7	17871042
DB18_adult_wild	2.3	15547644
DB18_adult_wild	0.2	1464066
DB18_adult_wild	2.4	16070512
DB18_adult_wild	2	13482820
DB18_adult_wild	1.5	9982660
DB18_adult_wild	2.3	15327200
DB18_adult_wild	2.1	13717298
DB18_adult_wild	1.9	12446068
DB18_adult_wild	2	13229992
DB18_adult_wild	2.3	15438524
DB18_adult_wild	2.6	17647580
DB18_adult_wild	1.3	8440296
DB18_adult_wild	2.2	14610602
DB18_adult_wild	3	20305736
DB18_adult_wild	1.8	12234386
DB18_adult_wild	2.8	18783016
DB18_adult_wild	2.8	18533248
DB18_adult_wild	2.6	17614752
DB18_adult_wild	3	19880892
DB18_adult_wild	2.1	14130138
DB18_adult_wild	5.4	36007416
DB18_adult_wild	3.4	22792382
DB18_adult_wild	2.9	19660400
DB18_adult_wild	3	20172834
DB18_adult_wild	2.6	17532756
DB18_adult_wild	2.8	18564732
DB18_adult_wild	1.3	8656596
DB18_adult_wild	2.2	14855954
DB18_adult_wild	3	20157132
DB18_adult_wild	2.9	19238474
DB18_adult_wild	2.1	13802738
DB18_adult_wild	2.1	14188368
DB18_adult_wild	1.9	12400188
DB18_adult_wild	1.5	10195408
DB18_adult_wild	1.5	10071780
DB18_adult_wild	1.8	12178516
DB18_adult_wild	1.9	12668280
DB18_adult_wild	2.3	15081246
DB18_adult_wild	2.2	14437234
DB18_adult_wild	2	13446696
DB18_adult_wild	2	13355844
DB18_adult_wild	2.8	18499714
DB18_adult_wild	2.2	14508718
DB18_adult_wild	2.6	17439478
DB18_adult_wild	2.8	18861678
DB18_adult_wild	2.3	15243888
DB18_adult_wild	1.7	11655574
DB18_adult_wild	2.2	14771288
DB18_adult_wild	1.9	12402232
DB18_adult_wild	1.9	12669558
DB18_adult_wild	1.6	10621952
DB18_adult_wild	1.6	10683968
DB18_adult_wild	2.7	18146132
DB18_adult_wild	2.3	15431392
DB18_adult_wild	1	6678532
DB18_adult_wild	1.6	10346992
DB18_adult_wild	2.1	14070872
DB18_adult_wild	2.2	14744866
DB18_adult_wild	2.3	15194544
DB18_adult_wild	2.2	14671014
DB18_adult_wild	2.2	14482512
DB18_adult_wild	2.4	15752732
DB18_adult_wild	1.8	12121938
DB18_adult_wild	2	13646148
DB18_adult_wild	2.2	14829450
DB18_adult_wild	2.4	16226924
DB18_adult_wild	2.4	15787388
DB18_adult_wild	0	152
DB18_adult_wild	3.5	23092052
DB18_adult_wild	2.2	14662052
DB18_adult_wild	1.3	8351562
DB18_adult_wild	2.2	14828460
DB18_adult_wild	2.3	15636608
DB18_adult_wild	2.1	14217126
DB18_adult_wild	2.5	16642208
DB18_adult_wild	2.2	14338856
DB18_adult_wild	2.6	17113668
DB18_adult_wild	1.5	10162382
DB18_adult_wild	1.9	12417630
DB18_adult_wild	2.6	17023800
DB18_adult_wild	1.2	7986072
DB18_adult_wild	2.9	19409876
DB18_adult_wild	3.9	25780432
DB18_adult_wild	3.5	23116402
DB18_adult_wild	3	20157146
DB18_adult_wild	2.7	17860396
DB18_adult_wild	2.1	13865846
DB18_adult_wild	2.7	18246996
DB18_adult_wild	2.9	19420430
DB18_adult_wild	3.2	21142594
DB18_adult_wild	3	20258072
DB18_adult_wild	2.1	14099160
DB18_adult_wild	2.1	14059282
DB18_adult_wild	1.9	12738612
DB18_adult_wild	2.1	14031046
DB18_adult_wild	2.2	14575086
DB18_adult_wild	2.9	19315334
DB18_adult_wild	3.4	22348214
DB18_adult_wild	2.2	14542622
DB18_adult_wild	3.1	20423322
DB18_adult_wild	2.5	16525796
DB18_adult_wild	1.5	10275582
DB18_adult_wild	2.4	16202506
DB18_adult_wild	0.5	3311452
DB18_adult_wild	2.3	15389036
DB18_adult_wild	2.3	15083838
DB18_adult_wild	2.3	15500318
DB18_adult_wild	2	13658474
DB18_adult_wild	2	13322784
DB18_adult_wild	2.2	14443850
DB18_adult_wild	1.9	12417542
DB18_adult_wild	2.5	16955542
DB18_adult_wild	4.2	27705172
DB18_adult_wild	0.4	2442256
DB18_adult_wild	2.1	14250150
DB18_adult_wild	2.9	19017662
DB18_adult_wild	2.5	16897356
DB18_adult_wild	1.6	10576978
DB18_adult_wild	2.9	19329058
DB18_adult_wild	2.1	13820578
DB18_adult_wild	2.3	15241918
DB18_adult_wild	1.7	11319588
DB18_adult_wild	2.4	16025140
DB18_adult_wild	2.3	15538322
DB18_adult_wild	2.1	13762408
DB18_adult_wild	1.1	7277584
DB18_adult_wild	2.7	18230516
DB18_adult_wild	1.8	12054436
DB18_adult_wild	2.4	15666944
DB18_adult_wild	1.6	10879298
DB18_adult_wild	2	13150542
DB19_adult_wild_challenge	2.75	18361990
DB19_adult_wild_challenge	3.26	21723906
DB19_adult_wild_challenge	1.86	12405088
DB19_adult_wild_challenge	1.85	12353072
DB19_adult_wild_challenge	2.82	18802518
DB19_adult_wild_challenge	2.63	17557574
DB19_adult_wild_challenge	2.72	18134508
DB19_adult_wild_challenge	3.63	24169980
DB19_adult_wild_challenge	3.9	26030984
DB19_adult_wild_challenge	2.23	14865708
DB19_adult_wild_challenge	1.27	8489888
DB19_adult_wild_challenge	1.99	13283414
DB19_adult_wild_challenge	2.97	19824118
DB19_adult_wild_challenge	2.11	14060710
DB19_adult_wild_challenge	3.74	24941840
DB19_adult_wild_challenge	3.15	21024408
DB19_adult_wild_challenge	3.5	23315530
DB19_adult_wild_challenge	1.91	12736200
DB19_adult_wild_challenge	2.3	15360372
DB19_adult_wild_challenge	1.59	10597954
DB19_adult_wild_challenge	1.45	9689956
DB19_adult_wild_challenge	1.45	9672374
DB19_adult_wild_challenge	1.38	9184966
DB19_adult_wild_challenge	2.6	17336260
DB19_adult_wild_challenge	1.65	11023968
DB19_adult_wild_challenge	1.58	10560050
DB19_adult_wild_challenge	2.39	15961888
DB19_adult_wild_challenge	1.68	11193344
DB19_adult_wild_challenge	0.21	1371998
DB19_adult_wild_challenge	1.56	10369064
DB19_adult_wild_challenge	1.52	10163762
DB19_adult_wild_challenge	2.04	13599674
DB19_adult_wild_challenge	3.56	23733636
DB19_adult_wild_challenge	1.37	9127688
DB19_adult_wild_challenge	1.32	8766948
DB19_adult_wild_challenge	1.27	8463502
DB19_adult_wild_challenge	1.26	8379258
DB19_adult_wild_challenge	0.96	6431796
DB19_adult_wild_challenge	2.42	16123392
DB19_adult_wild_challenge	2.04	13621960
DB19_adult_wild_challenge	1.36	9045748
DB19_adult_wild_challenge	2.32	15455610
DB19_adult_wild_challenge	6.15	40991136
DB19_adult_wild_challenge	2.98	19842144
DB19_adult_wild_challenge	1.21	8062710
DB19_adult_wild_challenge	3.33	22190696
DB19_adult_wild_challenge	1.66	11067314
DB19_adult_wild_challenge	2.1	13969766
DB19_adult_wild_challenge	1.39	9285086
DB19_adult_wild_challenge	1.81	12088260
DB19_adult_wild_challenge	2.94	19611792
DB19_adult_wild_challenge	1.86	12407490
DB19_adult_wild_challenge	3.73	24864108
DB19_adult_wild_challenge	2.53	16874936
DB19_adult_wild_challenge	2.85	19023820
DB19_adult_wild_challenge	2.12	14136134
DB19_adult_wild_challenge	2.14	14290136
DB19_adult_wild_challenge	2.23	14841882
DB19_adult_wild_challenge	3.09	20601494
DB19_adult_wild_challenge	2.49	16616098
DB19_adult_wild_challenge	2.55	17020210
DB19_adult_wild_challenge	1.47	9803790
DB19_adult_wild_challenge	3.64	24259748
DB19_adult_wild_challenge	1.77	11787192
DB19_adult_wild_challenge	2.65	17634520
DB19_adult_wild_challenge	1.37	9129700
DB19_adult_wild_challenge	2.09	13948850
DB19_adult_wild_challenge	2.66	17720890
DB19_adult_wild_challenge	1.65	11018060
DB19_adult_wild_challenge	2.8	18687168
DB19_adult_wild_challenge	1.6	10679978
DB19_adult_wild_challenge	1.44	9615124
DB19_adult_wild_challenge	1.71	11402622
DB19_adult_wild_challenge	3.54	23616220
DB19_adult_wild_challenge	2.15	14330772
DB19_adult_wild_challenge	2.33	15554266
DB19_adult_wild_challenge	1.39	9253802
DB19_adult_wild_challenge	1.24	8277758
DB19_adult_wild_challenge	2.26	15051126
DB19_adult_wild_challenge	1.4	9340772
DB19_adult_wild_challenge	2.13	14185712
DB19_adult_wild_challenge	2.79	18605460
DB19_adult_wild_challenge	3.7	24696812
DB19_adult_wild_challenge	2.4	16025166
DB19_adult_wild_challenge	1.44	9578882
DB19_adult_wild_challenge	2.73	18217288
DB19_adult_wild_challenge	1.82	12125546
DB19_adult_wild_challenge	1.99	13290232
DB19_adult_wild_challenge	2	13326486
DB19_adult_wild_challenge	2.2	14657472
DB19_adult_wild_challenge	1.25	8307832
DB19_adult_wild_challenge	3.07	20444248
DB19_adult_wild_challenge	0.52	3475142
DB19_adult_wild_challenge	1.49	9951078
DB19_adult_wild_challenge	1.73	11524968
DB19_adult_wild_challenge	1.52	10131632
DB19_adult_wild_challenge	1.79	11948438
DB19_adult_wild_challenge	0.91	6095110
DB19_adult_wild_challenge	1.25	8346986
DB19_adult_wild_challenge	1.59	10581746
DB19_adult_wild_challenge	1.36	9095272
DB19_adult_wild_challenge	1.55	10334952
DB19_adult_wild_challenge	1.06	7096110
DB19_adult_wild_challenge	1.34	8944968
DB19_adult_wild_challenge	1.49	9908612
DB19_adult_wild_challenge	1.13	7521804
DB19_adult_wild_challenge	2.94	19612438
