FID	IID	CLUSTER
1	ARN0419_001	ARN
2	ARN0419_002	ARN
3	ARN0419_003	ARN
4	ARN0419_004	ARN
5	ARN0419_005	ARN
6	ARN0419_006	ARN
7	ARN0419_007	ARN
8	ARN0419_008	ARN
9	ARN0419_009	ARN
10	ARN0419_010	ARN
11	ARN0419_011	ARN
12	ARN0419_012	ARN
13	ARN0419_013	ARN
14	ARN0419_014	ARN
15	ARN0419_015	ARN
16	ARN0419_016	ARN
17	ARN0419_017	ARN
18	ARN0419_018	ARN
19	ARN0419_019	ARN
20	ARN0419_020	ARN
21	ARN0419_022	ARN
22	ARN0419_023	ARN
23	ARN0419_024	ARN
24	ARN0419_025	ARN
25	ARN0419_026	ARN
26	ARN0419_027	ARN
27	ARN0419_028	ARN
28	ARN0419_029	ARN
29	ARN0419_031	ARN
30	ARN0419_032	ARN
31	ARN0419_033	ARN
32	ARN0419_034	ARN
33	ARN0419_035	ARN
34	ARN0419_036	ARN
35	ARN0419_037	ARN
36	ARN0419_038	ARN
37	ARN0419_039	ARN
38	ARN0419_040	ARN
39	ARN0419_041	ARN
40	ARN0419_043	ARN
41	ARN0419_044	ARN
42	ARN0419_045	ARN
43	ARN0419_046	ARN
44	ARN0419_047	ARN
45	ARN0419_048	ARN
46	ARN0419_049	ARN
47	ARN0419_050	ARN
48	COH0419_001	COH
49	COH0419_002	COH
50	COH0419_003	COH
51	COH0419_004	COH
52	COH0419_005	COH
53	COH0419_006	COH
54	COH0419_007	COH
55	COH0419_009	COH
56	COH0419_010	COH
57	COH0419_011	COH
58	COH0419_013	COH
59	COH0419_014	COH
60	COH0419_015	COH
61	COH0419_016	COH
62	COH0419_017	COH
63	COH0419_018	COH
64	COH0419_019	COH
65	COH0419_020	COH
66	COH0419_021	COH
67	COH0419_022	COH
68	COH0419_023	COH
69	COH0419_024	COH
70	COH0419_025	COH
71	COH0419_026	COH
72	COH0419_027	COH
73	COH0419_029	COH
74	COH0419_030	COH
75	COH0419_031	COH
76	COH0419_032	COH
77	COH0419_033	COH
78	COH0419_034	COH
79	COH0419_035	COH
80	COH0419_036	COH
81	COH0419_037	COH
82	COH0419_038	COH
83	COH0419_039	COH
84	COH0419_041	COH
85	COH0419_042	COH
86	COH0419_043	COH
87	COH0419_044	COH
88	COH0419_045	COH
89	COH0419_046	COH
90	COH0419_047	COH
91	COH0419_048	COH
92	HC0419_004	HC
93	HC0419_005	HC
94	HC0419_006	HC
95	HC0419_007	HC
96	HC0419_008	HC
97	HC0419_009	HC
98	HC0419_012	HC
99	HC0419_013	HC
100	HC0419_014	HC
101	HC0419_015	HC
102	HC0419_016	HC
103	HC0419_017	HC
104	HC0419_019	HC
105	HC0419_020	HC
106	HC0419_022	HC
107	HC0419_023	HC
108	HC0419_024	HC
109	HC0419_025	HC
110	HC0419_028	HC
111	HC0419_029	HC
112	HC0419_030	HC
113	HC0419_031	HC
114	HC0419_032	HC
115	HC0419_033	HC
116	HC0419_034	HC
117	HC0419_035	HC
118	HC0419_036	HC
119	HC0419_038	HC
120	HC0419_039	HC
121	HC0419_040	HC
122	HC0419_041	HC
123	HC0419_042	HC
124	HC0419_043	HC
125	HC0419_045	HC
126	HC0419_046	HC
127	HC0419_047	HC
128	HC0419_048	HC
129	HC0419_057	HC
130	HC0419_058	HC
131	HC0419_059	HC
132	HC0419_060	HC
133	HC0419_062	HC
134	HC0419_063	HC
135	HC0419_064	HC
136	HC0419_065	HC
137	HC0419_066	HC
138	HC0419_067	HC
139	NB0419_001	NB
140	NB0419_002	NB
141	NB0419_003	NB
142	NB0419_004	NB
143	NB0419_005	NB
144	NB0419_006	NB
145	NB0419_007	NB
146	NB0419_008	NB
147	NB0419_009	NB
148	NB0419_010	NB
149	NB0419_011	NB
150	NB0419_012	NB
151	NB0419_013	NB
152	NB0419_014	NB
153	NB0419_016	NB
154	NB0419_017	NB
155	NB0419_018	NB
156	NB0419_019	NB
157	NB0419_020	NB
158	NB0419_022	NB
159	NB0419_023	NB
160	NB0419_024	NB
161	NB0419_025	NB
162	NB0419_026	NB
163	NB0419_027	NB
164	NB0419_028	NB
165	NB0419_029	NB
166	NB0419_030	NB
167	NB0419_031	NB
168	NB0419_032	NB
169	NB0419_033	NB
170	NB0419_034	NB
171	NB0419_035	NB
172	NB0419_036	NB
173	NB0419_037	NB
174	NB0419_038	NB
175	NB0419_039	NB
176	NB0419_040	NB
177	NB0419_041	NB
178	NB0419_042	NB
179	NB0419_043	NB
180	NB0419_044	NB
181	NB0419_045	NB
182	NB0419_046	NB
183	NB0419_047	NB
184	NB0419_048	NB
185	NB0419_049	NB
186	NB0419_050	NB
187	SR0419_001	SR
188	SR0419_002	SR
189	SR0419_003	SR
190	SR0419_004	SR
191	SR0419_005	SR
192	SR0419_006	SR
193	SR0419_007	SR
194	SR0419_008	SR
195	SR0419_009	SR
196	SR0419_010	SR
197	SR0419_011	SR
198	SR0419_012	SR
199	SR0419_013	SR
200	SR0419_014	SR
201	SR0419_015	SR
202	SR0419_016	SR
203	SR0419_017	SR
204	SR0419_018	SR
205	SR0419_019	SR
206	SR0419_020	SR
207	SR0419_021	SR
208	SR0419_022	SR
209	SR0419_023	SR
210	SR0419_024	SR
211	SR0419_025	SR
212	SR0419_026	SR
213	SR0419_027	SR
214	SR0419_028	SR
215	SR0419_029	SR
216	SR0419_030	SR
217	SR0419_031	SR
218	SR0419_032	SR
219	SR0419_033	SR
220	SR0419_034	SR
221	SR0419_035	SR
222	SR0419_036	SR
223	SR0419_037	SR
224	SR0419_038	SR
225	SR0419_039	SR
226	SR0419_040	SR
227	SR0419_041	SR
228	SR0419_042	SR
229	SR0419_043	SR
230	SR0419_044	SR
231	SR0419_045	SR
232	SR0419_046	SR
233	SR0419_047	SR
234	SR0419_048	SR
235	SR0719ch_002	19 Surv.
236	SR0719ch_008	19 Surv.
237	SR0719ch_016	19 Surv.
238	SR0719ch_017	19 Surv.
239	SR0719ch_019	19 Surv.
240	SR0719ch_022	19 Surv.
241	SR0719ch_028	19 Surv.
