ind	pop
SR0719ch_002	Sur19
SR0719ch_008	Sur19
SR0719ch_016	Sur19
SR0719ch_017	Sur19
SR0719ch_019	Sur19
SR0719ch_022	Sur19
SR0719ch_028	Sur19
SR0719ch_029	Sur19
SR0719ch_044	Sur19
SR0719ch_064	Sur19
SR0719ch_066	Sur19
SR0719ch_074	Sur19
SR0719ch_083	Sur19
SR0719ch_089	Sur19
SR0719ch_094	Sur19
SR0719ch_099	Sur19
SR0719ch_103	Sur19
SR0719ch_112	Sur19
SR0719ch_119	Sur19
SR0719ch_123	Sur19
SR0719ch_129	Sur19
SR0719ch_131	Sur19
SR0719ch_138	Sur19
SR0719ch_140	Sur19
SR0719ch_141	Sur19
SR0719ch_147	Sur19
SR0719ch_155	Sur19
SR0719ch_169	Sur19
SR0719ch_181	Sur19
SR0719ch_183	Sur19
SR0719ch_186	Sur19
SR0719ch_201	Sur19
SR0719ch_216	Sur19
SR0719ch_218	Sur19
SR0719ch_228	Sur19
SR0719ch_232	Sur19
SR0719ch_236	Sur19
SR0719ch_237	Sur19
SR0719ch_248	Sur19
SR0719ch_256	Sur19
SR0719ch_258	Sur19
SR0719ch_261	Sur19
SR0719ch_279	Sur19
SR0719ch_283	Sur19
SR0719ch_294	Sur19
SR0719ch_317	Sur19
SR0719ch_324	Sur19
SR0719ch_333	Sur19
SR0719ch_336	Sur19
SR0719r_014	Ref19
SR0719r_034	Ref19
SR0719r_051	Ref19
SR0719r_053	Ref19
SR0719r_056	Ref19
SR0719r_061	Ref19
SR0719r_075	Ref19
SR0719r_095	Ref19
SR0719r_193	Ref19
SR0719r_257	Ref19
SR0719r_260	Ref19
SR0719r_265	Ref19
SR0719r_266	Ref19
SR0719r_276	Ref19
SR0719r_277	Ref19
SR0719r_286	Ref19
SR0719r_287	Ref19
SR0719r_295	Ref19
SR0719r_296	Ref19
SR0719r_302	Ref19
SR0719r_306	Ref19
SR0719r_314	Ref19
SR0719r_316	Ref19
SR0719r_318	Ref19
SR0719r_328	Ref19
SR0719r_332	Ref19
SR0719r_401	Ref19
SR0719r_402	Ref19
SR0719r_403	Ref19
SR0719r_404	Ref19
SR0719r_405	Ref19
SR0719r_406	Ref19
SR0719r_407	Ref19
SR0719r_408	Ref19
SR0719r_409	Ref19
SR0719r_410	Ref19
SR0719r_411	Ref19
SR0719r_414	Ref19
SR0719r_415	Ref19
SR0719r_417	Ref19
SR0719r_418	Ref19
SR0719r_419	Ref19
SR0719r_420	Ref19
SR0719r_422	Ref19
SR0719r_424	Ref19
SR0719r_425	Ref19
SR0719r_426	Ref19
SR0719r_427	Ref19
