ind	pop
ARN0419_001	ARN
ARN0419_002	ARN
ARN0419_003	ARN
ARN0419_004	ARN
ARN0419_005	ARN
ARN0419_006	ARN
ARN0419_007	ARN
ARN0419_008	ARN
ARN0419_009	ARN
ARN0419_010	ARN
ARN0419_011	ARN
ARN0419_012	ARN
ARN0419_013	ARN
ARN0419_014	ARN
ARN0419_015	ARN
ARN0419_016	ARN
ARN0419_017	ARN
ARN0419_018	ARN
ARN0419_019	ARN
ARN0419_020	ARN
ARN0419_022	ARN
ARN0419_023	ARN
ARN0419_024	ARN
ARN0419_025	ARN
ARN0419_026	ARN
ARN0419_027	ARN
ARN0419_028	ARN
ARN0419_029	ARN
ARN0419_031	ARN
ARN0419_032	ARN
ARN0419_033	ARN
ARN0419_034	ARN
ARN0419_035	ARN
ARN0419_036	ARN
ARN0419_037	ARN
ARN0419_038	ARN
ARN0419_039	ARN
ARN0419_040	ARN
ARN0419_041	ARN
ARN0419_043	ARN
ARN0419_044	ARN
ARN0419_045	ARN
ARN0419_046	ARN
ARN0419_047	ARN
ARN0419_048	ARN
ARN0419_049	ARN
ARN0419_050	ARN
COH0419_001	COH
COH0419_002	COH
COH0419_003	COH
COH0419_004	COH
COH0419_005	COH
COH0419_006	COH
COH0419_007	COH
COH0419_009	COH
COH0419_010	COH
COH0419_011	COH
COH0419_013	COH
COH0419_014	COH
COH0419_015	COH
COH0419_016	COH
COH0419_017	COH
COH0419_018	COH
COH0419_019	COH
COH0419_020	COH
COH0419_021	COH
COH0419_022	COH
COH0419_023	COH
COH0419_024	COH
COH0419_025	COH
COH0419_026	COH
COH0419_027	COH
COH0419_029	COH
COH0419_030	COH
COH0419_031	COH
COH0419_032	COH
COH0419_033	COH
COH0419_034	COH
COH0419_035	COH
COH0419_036	COH
COH0419_037	COH
COH0419_038	COH
COH0419_039	COH
COH0419_041	COH
COH0419_042	COH
COH0419_043	COH
COH0419_044	COH
COH0419_045	COH
COH0419_046	COH
COH0419_047	COH
COH0419_048	COH
HC0419_004	HC
HC0419_005	HC
HC0419_006	HC
HC0419_007	HC
HC0419_008	HC
HC0419_009	HC
HC0419_012	HC
HC0419_013	HC
HC0419_014	HC
HC0419_015	HC
HC0419_016	HC
HC0419_017	HC
HC0419_019	HC
HC0419_020	HC
HC0419_022	HC
HC0419_023	HC
HC0419_024	HC
HC0419_025	HC
HC0419_028	HC
HC0419_029	HC
HC0419_030	HC
HC0419_031	HC
HC0419_032	HC
HC0419_033	HC
HC0419_034	HC
HC0419_035	HC
HC0419_036	HC
HC0419_038	HC
HC0419_039	HC
HC0419_040	HC
HC0419_041	HC
HC0419_042	HC
HC0419_043	HC
HC0419_045	HC
HC0419_046	HC
HC0419_047	HC
HC0419_048	HC
HC0419_057	HC
HC0419_058	HC
HC0419_059	HC
HC0419_060	HC
HC0419_062	HC
HC0419_063	HC
HC0419_064	HC
HC0419_065	HC
HC0419_066	HC
HC0419_067	HC
NB0419_001	NB
NB0419_002	NB
NB0419_003	NB
NB0419_004	NB
NB0419_005	NB
NB0419_006	NB
NB0419_007	NB
NB0419_008	NB
NB0419_009	NB
NB0419_010	NB
NB0419_011	NB
NB0419_012	NB
NB0419_013	NB
NB0419_014	NB
NB0419_016	NB
NB0419_017	NB
NB0419_018	NB
NB0419_019	NB
NB0419_020	NB
NB0419_022	NB
NB0419_023	NB
NB0419_024	NB
NB0419_025	NB
NB0419_026	NB
NB0419_027	NB
NB0419_028	NB
NB0419_029	NB
NB0419_030	NB
NB0419_031	NB
NB0419_032	NB
NB0419_033	NB
NB0419_034	NB
NB0419_035	NB
NB0419_036	NB
NB0419_037	NB
NB0419_038	NB
NB0419_039	NB
NB0419_040	NB
NB0419_041	NB
NB0419_042	NB
NB0419_043	NB
NB0419_044	NB
NB0419_045	NB
NB0419_046	NB
NB0419_047	NB
NB0419_048	NB
NB0419_049	NB
NB0419_050	NB
SR0419_001	SR
SR0419_002	SR
SR0419_003	SR
SR0419_004	SR
SR0419_005	SR
SR0419_006	SR
SR0419_007	SR
SR0419_008	SR
SR0419_009	SR
SR0419_010	SR
SR0419_011	SR
SR0419_012	SR
SR0419_013	SR
SR0419_014	SR
SR0419_015	SR
SR0419_016	SR
SR0419_017	SR
SR0419_018	SR
SR0419_019	SR
SR0419_020	SR
SR0419_021	SR
SR0419_022	SR
SR0419_023	SR
SR0419_024	SR
SR0419_025	SR
SR0419_026	SR
SR0419_027	SR
SR0419_028	SR
SR0419_029	SR
SR0419_030	SR
SR0419_031	SR
SR0419_032	SR
SR0419_033	SR
SR0419_034	SR
SR0419_035	SR
SR0419_036	SR
SR0419_037	SR
SR0419_038	SR
SR0419_039	SR
SR0419_040	SR
SR0419_041	SR
SR0419_042	SR
SR0419_043	SR
SR0419_044	SR
SR0419_045	SR
SR0419_046	SR
SR0419_047	SR
SR0419_048	SR
SR0719ch_002	Sur19
SR0719ch_008	Sur19
SR0719ch_016	Sur19
SR0719ch_017	Sur19
SR0719ch_019	Sur19
SR0719ch_022	Sur19
SR0719ch_028	Sur19
SR0719ch_029	Sur19
SR0719ch_044	Sur19
SR0719ch_064	Sur19
SR0719ch_066	Sur19
SR0719ch_074	Sur19
SR0719ch_083	Sur19
SR0719ch_089	Sur19
SR0719ch_094	Sur19
SR0719ch_099	Sur19
SR0719ch_103	Sur19
SR0719ch_112	Sur19
SR0719ch_119	Sur19
SR0719ch_123	Sur19
SR0719ch_129	Sur19
SR0719ch_131	Sur19
SR0719ch_138	Sur19
SR0719ch_140	Sur19
SR0719ch_141	Sur19
SR0719ch_147	Sur19
SR0719ch_155	Sur19
SR0719ch_169	Sur19
SR0719ch_181	Sur19
SR0719ch_183	Sur19
SR0719ch_186	Sur19
SR0719ch_201	Sur19
SR0719ch_216	Sur19
SR0719ch_218	Sur19
SR0719ch_228	Sur19
SR0719ch_232	Sur19
SR0719ch_236	Sur19
SR0719ch_237	Sur19
SR0719ch_248	Sur19
SR0719ch_256	Sur19
SR0719ch_258	Sur19
SR0719ch_261	Sur19
SR0719ch_279	Sur19
SR0719ch_283	Sur19
SR0719ch_294	Sur19
SR0719ch_317	Sur19
SR0719ch_324	Sur19
SR0719ch_333	Sur19
SR0719ch_336	Sur19
SR0719r_014	Ref19
SR0719r_034	Ref19
SR0719r_051	Ref19
SR0719r_053	Ref19
SR0719r_056	Ref19
SR0719r_061	Ref19
SR0719r_075	Ref19
SR0719r_095	Ref19
SR0719r_193	Ref19
SR0719r_257	Ref19
SR0719r_260	Ref19
SR0719r_265	Ref19
SR0719r_266	Ref19
SR0719r_276	Ref19
SR0719r_277	Ref19
SR0719r_286	Ref19
SR0719r_287	Ref19
SR0719r_295	Ref19
SR0719r_296	Ref19
SR0719r_302	Ref19
SR0719r_306	Ref19
SR0719r_314	Ref19
SR0719r_316	Ref19
SR0719r_318	Ref19
SR0719r_328	Ref19
SR0719r_332	Ref19
SR0719r_401	Ref19
SR0719r_402	Ref19
SR0719r_403	Ref19
SR0719r_404	Ref19
SR0719r_405	Ref19
SR0719r_406	Ref19
SR0719r_407	Ref19
SR0719r_408	Ref19
SR0719r_409	Ref19
SR0719r_410	Ref19
SR0719r_411	Ref19
SR0719r_414	Ref19
SR0719r_415	Ref19
SR0719r_417	Ref19
