# snp_id	generation	frequency	replicate
1	0	0.05	1
2	0	0.05	1
3	0	0.05	1
4	0	0.05	1
5	0	0.05	1
1	10	0.1925	1
2	10	0.21	1
3	10	0.3575	1
4	10	0.2625	1
5	10	0.24	1
1	20	0.265	1
2	20	0.31	1
3	20	0.445	1
4	20	0.4775	1
5	20	0.3725	1
1	30	0.3525	1
2	30	0.34	1
3	30	0.415	1
4	30	0.56	1
5	30	0.2825	1
1	40	0.4225	1
2	40	0.265	1
3	40	0.35	1
4	40	0.6475	1
5	40	0.26	1
1	50	0.5025	1
2	50	0.255	1
3	50	0.2675	1
4	50	0.7475	1
5	50	0.1975	1
1	60	0.53	1
2	60	0.1525	1
3	60	0.2525	1
4	60	0.765	1
5	60	0.235	1
1	70	0.45	1
2	70	0.1375	1
3	70	0.28	1
4	70	0.7475	1
5	70	0.335	1
1	80	0.5725	1
2	80	0.105	1
3	80	0.35	1
4	80	0.72	1
5	80	0.3125	1
1	90	0.6725	1
2	90	0.0775	1
3	90	0.3175	1
4	90	0.655	1
5	90	0.305	1
1	100	0.64	1
2	100	0.095	1
3	100	0.3225	1
4	100	0.7675	1
5	100	0.1875	1
1	0	0.05	2
2	0	0.05	2
3	0	0.05	2
4	0	0.05	2
5	0	0.05	2
1	10	0.3825	2
2	10	0.2725	2
3	10	0.3025	2
4	10	0.28	2
5	10	0.25	2
1	20	0.42	2
2	20	0.245	2
3	20	0.4875	2
4	20	0.3825	2
5	20	0.31	2
1	30	0.465	2
2	30	0.3875	2
3	30	0.5775	2
4	30	0.345	2
5	30	0.1925	2
1	40	0.55	2
2	40	0.42	2
3	40	0.5925	2
4	40	0.43	2
5	40	0.14	2
1	50	0.615	2
2	50	0.4375	2
3	50	0.5575	2
4	50	0.4	2
5	50	0.0875	2
1	60	0.5075	2
2	60	0.4775	2
3	60	0.58	2
4	60	0.2925	2
5	60	0.1	2
1	70	0.7075	2
2	70	0.405	2
3	70	0.7225	2
4	70	0.1525	2
5	70	0.04	2
1	80	0.825	2
2	80	0.35	2
3	80	0.8125	2
4	80	0.09	2
5	80	0.0	2
1	90	0.955	2
2	90	0.1875	2
3	90	0.895	2
4	90	0.0325	2
5	90	0.0	2
1	100	0.9825	2
2	100	0.075	2
3	100	0.9675	2
4	100	0.0	2
5	100	0.0	2
1	0	0.05	3
2	0	0.05	3
3	0	0.05	3
4	0	0.05	3
5	0	0.05	3
1	10	0.315	3
2	10	0.0925	3
3	10	0.325	3
4	10	0.3025	3
5	10	0.395	3
1	20	0.42	3
2	20	0.0825	3
3	20	0.395	3
4	20	0.5175	3
5	20	0.565	3
1	30	0.47	3
2	30	0.06	3
3	30	0.3225	3
4	30	0.445	3
5	30	0.6325	3
1	40	0.5875	3
2	40	0.0	3
3	40	0.1975	3
4	40	0.4475	3
5	40	0.755	3
1	50	0.485	3
2	50	0.0	3
3	50	0.13	3
4	50	0.4225	3
5	50	0.8825	3
1	60	0.5625	3
2	60	0.0	3
3	60	0.1875	3
4	60	0.33	3
5	60	0.8625	3
1	70	0.4775	3
2	70	0.0	3
3	70	0.1625	3
4	70	0.4125	3
5	70	0.8975	3
1	80	0.505	3
2	80	0.0	3
3	80	0.19	3
4	80	0.4575	3
5	80	0.9425	3
1	90	0.475	3
2	90	0.0	3
3	90	0.1625	3
4	90	0.4025	3
5	90	0.96	3
1	100	0.6	3
2	100	0.0	3
3	100	0.0975	3
4	100	0.32	3
5	100	0.91	3
1	0	0.05	4
2	0	0.05	4
3	0	0.05	4
4	0	0.05	4
5	0	0.05	4
1	10	0.3125	4
2	10	0.3975	4
3	10	0.2525	4
4	10	0.4225	4
5	10	0.18	4
1	20	0.32	4
2	20	0.565	4
3	20	0.3	4
4	20	0.525	4
5	20	0.23	4
1	30	0.3875	4
2	30	0.555	4
3	30	0.2025	4
4	30	0.6525	4
5	30	0.145	4
1	40	0.3425	4
2	40	0.74	4
3	40	0.2	4
4	40	0.6075	4
5	40	0.1325	4
1	50	0.3025	4
2	50	0.8925	4
3	50	0.095	4
4	50	0.6425	4
5	50	0.1275	4
1	60	0.1225	4
2	60	0.94	4
3	60	0.045	4
4	60	0.7625	4
5	60	0.03	4
1	70	0.055	4
2	70	0.95	4
3	70	0.035	4
4	70	0.8075	4
5	70	0.02	4
1	80	0.0675	4
2	80	0.9925	4
3	80	0.0325	4
4	80	0.9375	4
5	80	0.0375	4
1	90	0.0025	4
2	90	0.965	4
3	90	0.0075	4
4	90	0.9825	4
5	90	0.005	4
1	100	0.0	4
2	100	0.9675	4
3	100	0.0	4
4	100	0.9875	4
5	100	0.0125	4
